path,plate,well,sheet,condition
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/F03_250806_MAPK9_siRNA_ctrl/denoised/Cell10 - Denoised.nd2,250731_patterned_plate_11_good,F03,MAPK9 siRNA,MAPK9 ctrl
/Volumes/valelab/_for_Mark/patterned_data/250724_patterned_plate_10/E02_250728_ctrl_siRNA_Ars/denoised/Cell2 - Denoised.nd2,250724_patterned_plate_10,E02,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/B03_250806_ctrl_siRNA_Ars/denoised/Cell11 - Denoised.nd2,250731_patterned_plate_11_good,B03,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250710_patterned_plate_9_good/G03_250717_MAPK9_siRNA_ctrl/denoised/cell7 - Denoised.nd2,250710_patterned_plate_9_good,G03,MAPK9 siRNA,MAPK9 ctrl
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/F03_250806_MAPK9_siRNA_ctrl/denoised/Cell5 - Denoised.nd2,250731_patterned_plate_11_good,F03,MAPK9 siRNA,MAPK9 ctrl
/Volumes/valelab/_for_Mark/patterned_data/250710_patterned_plate_9_good/F05_250717_ctrl_siRNA_ctrl/denoised/Cell12 - Denoised.nd2,250710_patterned_plate_9_good,F05,MAPK9 siRNA,ctrl ctrl
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/F03_250806_MAPK9_siRNA_ctrl/denoised/Cell1 - Denoised.nd2,250731_patterned_plate_11_good,F03,MAPK9 siRNA,MAPK9 ctrl
/Volumes/valelab/_for_Mark/patterned_data/250807_patterned_plate_12/C04_250814_MAPK9_siRNA_Ars/denoised/cell2 - Denoised.nd2,250807_patterned_plate_12,C04,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/F03_250806_MAPK9_siRNA_ctrl/denoised/Cell19 - Denoised.nd2,250731_patterned_plate_11_good,F03,MAPK9 siRNA,MAPK9 ctrl
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/F03_250806_MAPK9_siRNA_ctrl/denoised/Cell20 - Denoised.nd2,250731_patterned_plate_11_good,F03,MAPK9 siRNA,MAPK9 ctrl
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/B03_250806_ctrl_siRNA_Ars/denoised/Cell7 - Denoised.nd2,250731_patterned_plate_11_good,B03,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250710_patterned_plate_9_good/G09_250718_MAPK9_siRNA_Ars/denoised/Cell6 - Denoised.nd2,250710_patterned_plate_9_good,G09,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250807_patterned_plate_12/C04_250814_MAPK9_siRNA_Ars/denoised/cell16 - Denoised.nd2,250807_patterned_plate_12,C04,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/C03_250806_MAPK9_siRNA_Ars/denoised/Cell14 - Denoised.nd2,250731_patterned_plate_11_good,C03,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250724_patterned_plate_10/B03_250728_MAPK9_siRNA_Ars/denoised/Cell12 - Denoised2.nd2,250724_patterned_plate_10,B03,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250807_patterned_plate_12/B04_250813_ctrl_siRNA_Ars/denoised/Cell12 - Denoised.nd2,250807_patterned_plate_12,B04,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250807_patterned_plate_12/C04_250814_MAPK9_siRNA_Ars/denoised/cell13 - Denoised.nd2,250807_patterned_plate_12,C04,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250724_patterned_plate_10/B03_250728_MAPK9_siRNA_Ars/denoised/Cell5 - Denoised.nd2,250724_patterned_plate_10,B03,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250724_patterned_plate_10/B03_250728_MAPK9_siRNA_Ars/denoised/Cell1 - Denoised.nd2,250724_patterned_plate_10,B03,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/F03_250806_MAPK9_siRNA_ctrl/denoised/Cell12 - Denoised.nd2,250731_patterned_plate_11_good,F03,MAPK9 siRNA,MAPK9 ctrl
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/E03_250806_ctrl_siRNA_ctrl/denoised/Cell11 - Denoised.nd2,250731_patterned_plate_11_good,E03,MAPK9 siRNA,ctrl ctrl
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/C03_250806_MAPK9_siRNA_Ars/denoised/Cell10 - Denoised.nd2,250731_patterned_plate_11_good,C03,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/B03_250806_ctrl_siRNA_Ars/denoised/Cell19 - Denoised.nd2,250731_patterned_plate_11_good,B03,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250807_patterned_plate_12/C04_250814_MAPK9_siRNA_Ars/denoised/cell17 - Denoised.nd2,250807_patterned_plate_12,C04,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250807_patterned_plate_12/B04_250813_ctrl_siRNA_Ars/denoised/Cell3 - Denoised.nd2,250807_patterned_plate_12,B04,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250710_patterned_plate_9_good/G03_250717_MAPK9_siRNA_ctrl/denoised/cell6 - Denoised.nd2,250710_patterned_plate_9_good,G03,MAPK9 siRNA,MAPK9 ctrl
/Volumes/valelab/_for_Mark/patterned_data/250807_patterned_plate_12/B04_250813_ctrl_siRNA_Ars/denoised/Cell9 - Denoised.nd2,250807_patterned_plate_12,B04,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250807_patterned_plate_12/F04_250814_ctrl_siRNA_ctrl/denoised/cell13 - Denoised.nd2,250807_patterned_plate_12,F04,MAPK9 siRNA,ctrl ctrl
/Volumes/valelab/_for_Mark/patterned_data/250710_patterned_plate_9_good/G03_250717_MAPK9_siRNA_ctrl/denoised/cell4 - Denoised.nd2,250710_patterned_plate_9_good,G03,MAPK9 siRNA,MAPK9 ctrl
/Volumes/valelab/_for_Mark/patterned_data/250724_patterned_plate_10/E02_250728_ctrl_siRNA_Ars/denoised/Cell4 - Denoised.nd2,250724_patterned_plate_10,E02,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250724_patterned_plate_10/B03_250728_MAPK9_siRNA_Ars/denoised/Cell13 - Denoised.nd2,250724_patterned_plate_10,B03,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250710_patterned_plate_9_good/G03_250717_MAPK9_siRNA_ctrl/denoised/cell9 - Denoised.nd2,250710_patterned_plate_9_good,G03,MAPK9 siRNA,MAPK9 ctrl
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/B03_250806_ctrl_siRNA_Ars/denoised/Cell8 - Denoised.nd2,250731_patterned_plate_11_good,B03,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/E03_250806_ctrl_siRNA_ctrl/denoised/Cell7 - Denoised.nd2,250731_patterned_plate_11_good,E03,MAPK9 siRNA,ctrl ctrl
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/C03_250806_MAPK9_siRNA_Ars/denoised/Cell19 - Denoised.nd2,250731_patterned_plate_11_good,C03,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250724_patterned_plate_10/B03_250728_MAPK9_siRNA_Ars/denoised/Cell11 - Denoised2.nd2,250724_patterned_plate_10,B03,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250724_patterned_plate_10/E02_250728_ctrl_siRNA_Ars/denoised/Cell12 - Denoised.nd2,250724_patterned_plate_10,E02,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/C03_250806_MAPK9_siRNA_Ars/denoised/Cell12 - Denoised.nd2,250731_patterned_plate_11_good,C03,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250710_patterned_plate_9_good/F05_250717_ctrl_siRNA_ctrl/denoised/Cell5 - Denoised.nd2,250710_patterned_plate_9_good,F05,MAPK9 siRNA,ctrl ctrl
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/C03_250806_MAPK9_siRNA_Ars/denoised/Cell1 - Denoised.nd2,250731_patterned_plate_11_good,C03,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250807_patterned_plate_12/G04_250814_MAPK9_siRNA_ctrl/denoised/Cell8 - Denoised2.nd2,250807_patterned_plate_12,G04,MAPK9 siRNA,MAPK9 ctrl
/Volumes/valelab/_for_Mark/patterned_data/250710_patterned_plate_9_good/F11_250717_ctrl_siRNA_Ars/denoised/Cell1 - Denoised.nd2,250710_patterned_plate_9_good,F11,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/B03_250806_ctrl_siRNA_Ars/denoised/Cell13 - Denoised.nd2,250731_patterned_plate_11_good,B03,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250710_patterned_plate_9_good/G03_250717_MAPK9_siRNA_ctrl/denoised/cell2 - Denoised.nd2,250710_patterned_plate_9_good,G03,MAPK9 siRNA,MAPK9 ctrl
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/E03_250806_ctrl_siRNA_ctrl/denoised/Cell4 - Denoised.nd2,250731_patterned_plate_11_good,E03,MAPK9 siRNA,ctrl ctrl
/Volumes/valelab/_for_Mark/patterned_data/250724_patterned_plate_10/E02_250728_ctrl_siRNA_Ars/denoised/Cell7 - Denoised.nd2,250724_patterned_plate_10,E02,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/B03_250806_ctrl_siRNA_Ars/denoised/Cell10 - Denoised.nd2,250731_patterned_plate_11_good,B03,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250724_patterned_plate_10/E02_250728_ctrl_siRNA_Ars/denoised/Cell6 - Denoised.nd2,250724_patterned_plate_10,E02,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/C03_250806_MAPK9_siRNA_Ars/denoised/Cell18 - Denoised.nd2,250731_patterned_plate_11_good,C03,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250807_patterned_plate_12/B04_250813_ctrl_siRNA_Ars/denoised/Cell2 - Denoised.nd2,250807_patterned_plate_12,B04,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250807_patterned_plate_12/B04_250813_ctrl_siRNA_Ars/denoised/Cell5 - Denoised.nd2,250807_patterned_plate_12,B04,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250724_patterned_plate_10/B03_250728_MAPK9_siRNA_Ars/denoised/Cell4 - Denoised.nd2,250724_patterned_plate_10,B03,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250807_patterned_plate_12/B04_250813_ctrl_siRNA_Ars/denoised/Cell20 - Denoised.nd2,250807_patterned_plate_12,B04,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250724_patterned_plate_10/B03_250728_MAPK9_siRNA_Ars/denoised/Cell8 - Denoised2.nd2,250724_patterned_plate_10,B03,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250724_patterned_plate_10/B03_250728_MAPK9_siRNA_Ars/denoised/Cell14 - Denoised.nd2,250724_patterned_plate_10,B03,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/B03_250806_ctrl_siRNA_Ars/denoised/Cell15 - Denoised.nd2,250731_patterned_plate_11_good,B03,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250807_patterned_plate_12/C04_250814_MAPK9_siRNA_Ars/denoised/cell12 - Denoised.nd2,250807_patterned_plate_12,C04,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/F03_250806_MAPK9_siRNA_ctrl/denoised/Cell2 - Denoised.nd2,250731_patterned_plate_11_good,F03,MAPK9 siRNA,MAPK9 ctrl
/Volumes/valelab/_for_Mark/patterned_data/250724_patterned_plate_10/B03_250728_MAPK9_siRNA_Ars/denoised/Cell15 - Denoised.nd2,250724_patterned_plate_10,B03,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250710_patterned_plate_9_good/G09_250718_MAPK9_siRNA_Ars/denoised/Cell11 - Denoised.nd2,250710_patterned_plate_9_good,G09,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250807_patterned_plate_12/G04_250814_MAPK9_siRNA_ctrl/denoised/Cell6 - Denoised2.nd2,250807_patterned_plate_12,G04,MAPK9 siRNA,MAPK9 ctrl
/Volumes/valelab/_for_Mark/patterned_data/250710_patterned_plate_9_good/F05_250717_ctrl_siRNA_ctrl/denoised/Cell3 - Denoised.nd2,250710_patterned_plate_9_good,F05,MAPK9 siRNA,ctrl ctrl
/Volumes/valelab/_for_Mark/patterned_data/250807_patterned_plate_12/B04_250813_ctrl_siRNA_Ars/denoised/Cell18 - Denoised.nd2,250807_patterned_plate_12,B04,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250807_patterned_plate_12/B04_250813_ctrl_siRNA_Ars/denoised/Cell11 - Denoised.nd2,250807_patterned_plate_12,B04,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/F03_250806_MAPK9_siRNA_ctrl/denoised/Cell11 - Denoised.nd2,250731_patterned_plate_11_good,F03,MAPK9 siRNA,MAPK9 ctrl
/Volumes/valelab/_for_Mark/patterned_data/250807_patterned_plate_12/C04_250814_MAPK9_siRNA_Ars/denoised/cell4 - Denoised.nd2,250807_patterned_plate_12,C04,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250710_patterned_plate_9_good/F11_250717_ctrl_siRNA_Ars/denoised/Cell6 - Denoised.nd2,250710_patterned_plate_9_good,F11,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250710_patterned_plate_9_good/G09_250718_MAPK9_siRNA_Ars/denoised/Cell9 - Denoised.nd2,250710_patterned_plate_9_good,G09,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250807_patterned_plate_12/B04_250813_ctrl_siRNA_Ars/denoised/Cell13 - Denoised.nd2,250807_patterned_plate_12,B04,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250807_patterned_plate_12/F04_250814_ctrl_siRNA_ctrl/denoised/cell18 - Denoised.nd2,250807_patterned_plate_12,F04,MAPK9 siRNA,ctrl ctrl
/Volumes/valelab/_for_Mark/patterned_data/250807_patterned_plate_12/C04_250814_MAPK9_siRNA_Ars/denoised/cell3 - Denoised.nd2,250807_patterned_plate_12,C04,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250710_patterned_plate_9_good/F05_250717_ctrl_siRNA_ctrl/denoised/Cell6 - Denoised.nd2,250710_patterned_plate_9_good,F05,MAPK9 siRNA,ctrl ctrl
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/B03_250806_ctrl_siRNA_Ars/denoised/Cell18 - Denoised.nd2,250731_patterned_plate_11_good,B03,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/C03_250806_MAPK9_siRNA_Ars/denoised/Cell3 - Denoised.nd2,250731_patterned_plate_11_good,C03,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/B03_250806_ctrl_siRNA_Ars/denoised/Cell17 - Denoised.nd2,250731_patterned_plate_11_good,B03,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/B03_250806_ctrl_siRNA_Ars/denoised/Cell3 - Denoised.nd2,250731_patterned_plate_11_good,B03,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250710_patterned_plate_9_good/G09_250718_MAPK9_siRNA_Ars/denoised/Cell12 - Denoised.nd2,250710_patterned_plate_9_good,G09,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250807_patterned_plate_12/G04_250814_MAPK9_siRNA_ctrl/denoised/Cell12 - Denoised2.nd2,250807_patterned_plate_12,G04,MAPK9 siRNA,MAPK9 ctrl
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/F03_250806_MAPK9_siRNA_ctrl/denoised/Cell3 - Denoised.nd2,250731_patterned_plate_11_good,F03,MAPK9 siRNA,MAPK9 ctrl
/Volumes/valelab/_for_Mark/patterned_data/250710_patterned_plate_9_good/F11_250717_ctrl_siRNA_Ars/denoised/Cell4 - Denoised.nd2,250710_patterned_plate_9_good,F11,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250807_patterned_plate_12/C04_250814_MAPK9_siRNA_Ars/denoised/cell6 - Denoised.nd2,250807_patterned_plate_12,C04,MAPK9 siRNA,MAPK9 Ars
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/F03_250806_MAPK9_siRNA_ctrl/denoised/Cell15 - Denoised.nd2,250731_patterned_plate_11_good,F03,MAPK9 siRNA,MAPK9 ctrl
/Volumes/valelab/_for_Mark/patterned_data/250807_patterned_plate_12/B04_250813_ctrl_siRNA_Ars/denoised/Cell15 - Denoised.nd2,250807_patterned_plate_12,B04,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250731_patterned_plate_11_good/B03_250806_ctrl_siRNA_Ars/denoised/Cell2 - Denoised.nd2,250731_patterned_plate_11_good,B03,MAPK9 siRNA,ctrl Ars
/Volumes/valelab/_for_Mark/patterned_data/250710_patterned_plate_9_good/F05_250717_ctrl_siRNA_ctrl/denoised/Cell9 - Denoised.nd2,250710_patterned_plate_9_good,F05,MAPK9 siRNA,ctrl ctrl
